region_code;region_name;2;4;5;7;8;10;11;13;14;17;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;independents;total
01;БЛАГОЕВГРАД;195;339;3304;461;274;571;380;562;478;19068;335;3311;117;338;12014;22791;188;63;31;50;5026;2390;30791;11208;64;99;74;0;114522
02;БУРГАС;353;969;7148;549;335;701;505;522;542;19606;351;994;116;341;12388;35970;211;87;52;77;6602;3695;31808;13090;60;117;51;129;137369
03;ВАРНА;315;571;10563;534;290;672;670;582;671;7187;404;1835;121;777;16773;45502;210;84;64;91;9166;3762;41757;13884;106;173;59;0;156823
04;ВЕЛИКО ТЪРНОВО;215;289;4263;438;230;503;429;360;388;6663;189;1074;73;204;8411;19484;121;78;26;35;3664;1424;16335;11876;53;80;31;0;76936
05;ВИДИН;63;88;966;230;89;219;215;121;119;1783;82;210;24;86;3311;5840;53;14;14;19;1609;928;7968;4244;21;28;22;0;28366
06;ВРАЦА;164;229;2198;295;179;418;380;270;268;4924;209;953;93;197;6218;12885;93;46;43;33;2106;1993;15550;6784;40;54;37;0;56659
07;ГАБРОВО;108;126;2224;153;78;236;202;176;166;1672;111;459;33;139;3545;10151;61;0;22;24;1447;905;11069;3844;11;58;19;0;37039
08;ДОБРИЧ;156;260;2718;259;173;431;290;299;308;5612;199;712;57;228;5264;13271;84;45;20;29;2166;1246;10515;7559;64;62;27;0;52054
09;КЪРДЖАЛИ;74;104;718;372;125;191;132;168;224;45198;131;150;46;99;2563;4662;43;74;16;22;1074;286;6934;2881;14;24;19;0;66344
10;КЮСТЕНДИЛ;141;132;1800;156;110;313;259;213;231;597;114;676;47;126;4248;10053;57;26;24;21;1318;1505;12898;5437;35;73;24;0;40634
11;ЛОВЕЧ;100;125;1875;205;98;273;232;190;212;3324;109;597;59;163;4339;9076;70;23;20;27;1591;1013;11401;5766;30;45;37;0;41000
12;МОНТАНА;145;142;1626;314;132;271;291;197;209;8173;122;402;33;139;4633;10144;83;39;19;20;1312;1023;9145;5504;28;40;17;0;44203
13;ПАЗАРДЖИК;244;219;3178;311;219;492;436;379;314;10066;194;891;66;215;7602;16462;108;44;26;50;2838;2001;20388;10002;53;60;35;0;76893
14;ПЕРНИК;137;132;1887;355;128;345;288;253;203;650;142;530;51;117;4328;10027;54;31;18;16;1824;1069;13577;5036;30;47;26;0;41301
15;ПЛЕВЕН;247;404;3340;414;228;578;446;415;364;4863;259;1172;89;237;11994;19100;144;63;45;40;2816;2742;17415;13065;114;76;36;0;80706
16;ПЛОВДИВ град;261;336;7470;387;205;500;498;597;453;1925;262;1274;98;255;11509;38647;126;42;61;42;8637;2361;29521;10772;25;98;39;0;116401
17;ПЛОВДИВ област;247;645;4768;468;368;778;555;579;449;7652;304;904;89;330;9848;21659;154;76;44;55;3334;2447;25625;14220;62;98;53;0;95811
18;РАЗГРАД;72;119;956;177;103;213;149;124;176;18183;116;233;43;136;2338;4379;42;27;9;15;2942;416;7209;2697;35;27;7;0;40943
19;РУСЕ;177;229;3977;303;178;437;399;395;346;5715;230;1170;67;205;8369;20791;94;53;35;42;2943;1397;15000;7827;28;65;31;0;70503
20;СИЛИСТРА;105;141;1190;589;108;274;170;164;203;12130;146;343;67;178;3303;7185;56;34;16;17;1000;620;10203;3749;29;42;27;0;42089
21;СЛИВЕН;213;275;2453;249;185;374;308;253;243;2872;164;396;78;301;5115;12946;142;41;25;35;2058;1833;13436;6007;41;71;35;0;50149
22;СМОЛЯН;112;159;1014;156;100;260;146;230;186;8778;151;170;42;88;3793;8247;63;45;18;22;1520;638;10289;5156;33;48;17;0;41481
23;СОФИЯ 23 ИР;509;335;9688;664;256;559;695;731;904;1125;361;1714;139;219;12437;76590;321;94;84;107;32785;5902;45148;17941;65;319;54;0;209746
24;СОФИЯ 24 ИР;375;234;7429;602;206;486;647;601;635;767;260;1478;81;186;10129;48568;182;74;72;69;21169;3723;34950;12204;59;216;41;53;145496
25;СОФИЯ 25 ИР;475;281;8359;439;208;603;794;651;789;948;360;2026;116;255;11982;46256;217;69;57;77;13881;3558;37636;13602;61;255;55;0;144010
26;СОФИЯ област;244;308;3179;343;239;614;477;485;470;4279;276;1299;110;245;7916;17551;237;73;42;44;3191;1666;21612;10008;59;106;54;0;75127
27;СТАРА ЗАГОРА;324;354;6514;413;220;720;603;502;466;7033;311;924;105;355;11850;28683;141;75;45;47;4424;2778;24107;13236;96;95;39;0;104460
28;ТЪРГОВИЩЕ;99;126;1082;195;114;216;144;170;143;14015;120;267;39;113;2856;5266;49;51;22;14;1031;537;6283;4032;31;22;21;0;37058
29;ХАСКОВО;226;296;3732;330;207;506;361;351;351;13876;226;448;104;251;7710;21445;165;56;34;41;2954;1728;18642;8515;44;84;34;0;82717
30;ШУМЕН;182;226;2114;307;171;353;236;274;293;13976;156;596;62;281;4859;11246;75;40;30;23;1500;837;12889;5569;35;59;30;0;56419
31;ЯМБОЛ;115;196;2080;179;128;254;403;165;146;597;104;284;39;106;3544;9227;54;28;16;31;1468;994;8625;6990;20;52;42;0;35887
32;Извън страната;410;195;13755;392;210;349;413;648;596;87743;214;830;164;157;24554;49066;241;128;49;106;17572;2638;17730;5112;52;275;58;0;223657
